Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827ER_EGFR	Q7Z3Y7	KRT28	213|205|0|0	418	104.50	4	0|0|91|140|198|289|222|229|0|0|171|0|0|0|204|0|39960|256|216|225	0.00	0.00	0.00	0.00	0.00	-inf	0.05	0.55	
HCC827ER_EGFR	Q7Z3Y8	KRT27	213|205|0|0	418	104.50	4	0|0|91|140|198|289|222|229|0|0|171|0|0|0|204|0|39960|256|216|225	0.00	0.00	0.00	0.00	0.00	-inf	0.05	0.55	
HCC827ER_EGFR	Q7Z3Z0	KRT25	213|205|0|0	418	104.50	4	0|0|91|140|198|289|222|229|0|0|171|0|0|0|204|0|39960|256|216|225	0.00	0.00	0.00	0.00	0.00	-inf	0.05	0.55	
HCC827ER_EGFR	P02533	KRT14	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.93	0.00	0.55	
HCC827ER_EGFR	P0DMV8	HSPA1A	64684|4452|0|0	3600	900.00	4	63049|201|61929|4797|0|0|243|258|0|0|0|0|0|0|195|224|0|0|0|0	0.25	1.00	0.25	1.00	0.25	-inf	0.28	0.49	
HCC827ER_EGFR	P0DMV9	HSPA1B	64684|4452|0|0	3600	900.00	4	63049|201|61929|4797|0|0|243|258|0|0|0|0|0|0|195|224|0|0|0|0	0.25	1.00	0.25	1.00	0.25	-inf	0.28	0.49	
HCC827ER_EGFR	O00329	PIK3CD	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17575|13723|20513|28003	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P12236	SLC25A6	25407|16235|0|0	41642	10410.50	4	19787|14389|10213|29701|0|45309|7917|64553|0|0|0|0|0|4586|15726|54591|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-inf	44.99	0.23	
HCC827ER_EGFR	P05141	SLC25A5	49262|26650|0|0	10376	2594.00	4	36238|38852|43074|61621|0|6834|33844|13020|0|0|0|0|34945|25747|43185|14797|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-inf	2.12	0.30	
HCC827ER_EGFR	P42336	PIK3CA	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16110|35168|45344|41765	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q8WUY1	THEM6	119|0|0|0	119	29.75	4	112|117|147|25978|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.02	0.55	
HCC827ER_EGFR	Q6IE37	OVOS1	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|33838|11240|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q9UBL6	CPNE7	0|0|0|0	0	0.00	4	10038|11332|15968|18331|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q9HCH3	CPNE5	0|0|0|0	0	0.00	4	10038|11332|15968|18331|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q86YQ8	CPNE8	0|0|0|0	0	0.00	4	10038|11332|15968|18331|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	O95741	CPNE6	0|0|0|0	0	0.00	4	10038|11332|15968|18331|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q96A23	CPNE4	0|0|0|0	0	0.00	4	10038|11332|15968|18331|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q8IYJ1	CPNE9	0|0|0|0	0	0.00	4	10038|11332|15968|18331|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q96FN4	CPNE2	0|0|0|0	0	0.00	4	10038|11332|15968|18331|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
