Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827_EGFR	Q15303	ERBB4	42361|16626|57722|32615	18252	4563.00	4	0|0|45295|38495	0.75	1.00	0.75	1.00	0.75	-inf	1.00	0.07	
HCC827_EGFR	Q8NF91	SYNE1	0|34767|0|0	34767	8691.75	4	10000|25042|9771|56799	0.00	0.00	0.00	0.00	0.00	-inf	0.96	0.46	
HCC827_EGFR	Q3BBV2	NBPF8	0|0|0|0	0	0.00	4	46635|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.46	
HCC827_EGFR	Q86T75	NBPF11	0|0|0|0	0	0.00	4	46635|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.46	
HCC827_EGFR	Q7Z3Y9	KRT26	0|0|8308|0	8308	2077.00	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	20770.00	0.31	
HCC827_EGFR	P02042	HBD	0|0|0|0	0	0.00	4	0|0|41331|38497	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.46	
HCC827_EGFR	Q9H0C2	SLC25A31	50881|58117|62888|58351	33629	8407.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	84072.50	0.00	
HCC827_EGFR	P15924	DSP	0|0|40653|54581	29698	7424.50	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	74245.00	0.09	
HCC827_ERBB3	Q8WVM8	SCFD1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_ERBB3	Q13049	TRIM32	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_ERBB3	P35232	PHB	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
